year,artist,title
1980,"Blondie","Call Me"
1980,"Pink Floyd","Another Brick in the Wall, Part II"
1980,"Olivia Newton-John","Magic"
1980,"Michael Jackson","Rock with You"
1980,"Captain & Tennille","Do That to Me One More Time"
1980,"Queen","Crazy Little Thing Called Love"
1980,"Paul McCartney","Coming Up"
1980,"Lipps Inc","Funkytown"
1980,"Billy Joel","It’s Still Rock and Roll to Me"
1980,"Bette Midler","The Rose"
1980,"Rupert Holmes","Escape (The Piña Colada song)"
1980,"Gary Numan","Cars"
1980,"Smokey Robinson","Cruisin"
1980,"The Spinners","Working My Way Back to You/Forgive Me, Girl"
1980,"Air Supply","Lost in Love"
1980,"Elton John","Little Jeannie"
1980,"Christopher Cross","Ride Like the Wind"
1980,"Diana Ross","Upside Down"
1980,"KC and the Sunshine Band","Please Don’t Go"
1980,"Styx","Babe"
1980,"Billy Preston and Syreeta","With You I’m Born Again"
1980,"The Manhattans","Shining Star"
1980,"Commodores","Still"
1980,"Teri DeSario & KC","Yes, I’m Ready"
1980,"Dr. Hook","Sexy Eyes"
1980,"Robbie Dupree","Steal Away"
1980,"Ambrosia","Biggest Part of Me"
1980,"Kenny Loggins","This Is It"
1980,"The Spinners","Cupid / I’ve Loved You for a Long Time"
1980,"Jermaine Jackson","Let’s Get Serious"
1980,"Kenny Rogers & Kim Carnes","Don’t Fall in Love with a Dreamer"
1980,"Christopher Cross","Sailing"
1980,"Dan Fogelberg","Longer"
1980,"Kenny Rogers","Coward of the County"
1980,"Kool & the Gang","Ladies’ Night"
1980,"Kool & the Gang","Too Hot"
1980,"The SOS Band","Take Your Time (Do It Right)"
1980,"Barbra Streisand & Donna Summer","No More Tears (Enough Is Enough)"
1980,"Kim Carnes","More Love"
1980,"M","Pop Muzik"
1980,"The Pretenders","Brass in Pocket"
1980,"Ray, Goodman & Brown","Special Lady"
1980,"Stevie Wonder","Send One Your Love"
1980,"Shalamar","The Second Time Around"
1980,"Cliff Richard","We Don’t Talk Anymore"
1980,"The Brothers Johnson","Stomp!"
1980,"Eagles","Heartache Tonight"
1980,"Rocky Burnette","Tired of Toein’ the Line"
1980,"Dr. Hook","Better Love Next Time"
1980,"Rupert Holmes","Him"
1980,"and the Silver Bullet Band","Against the Wind"
1980,"Donna Summer","On the Radio"
1980,"The Rolling Stones","Emotional Rescue"
1980,"Herb Alpert","Rise"
1980,"Air Supply","All Out of Love"
1980,"Little River Band","Cool Change"
1980,"J.D. Souther","You’re Only Lonely"
1980,"Andy Gibb","Desire"
1980,"Pete Townshend","Let My Love Open the Door"
1980,"Steve Forbert","Romeo’s Tune"
1980,"Anne Murray","Daydream Believer"
1980,"Eagles","I Can’t Tell You Why"
1980,"Isaac Hayes","Don’t Let Go"
1980,"Tom Petty and the Heartbreakers","Don’t Do Me Like That"
1980,"Michael Jackson","She’s Out of My Life"
1980,"Irene Cara","Fame"
1980,"and the Silver Bullet Band","Fire Lake"
1980,"Linda Ronstadt","How Do I Make You"
1980,"Benny Mardones","Into the Night"
1980,"Pure Prairie League","Let Me Love You Tonight"
1980,"Genesis","Misunderstanding"
1980,"The Dirt Band","An American Dream"
1980,"Carole King","One Fine Day"
1980,"Donna Summer","Dim All the Lights"
1980,"Billy Joel","You May Be Right"
1980,"Neil & Dara Sedaka","Should’ve Never Let You Go"
1980,"Charlie Dore","Pilot of the Airwaves"
1980,"Linda Ronstadt","Hurt So Bad"
1980,"Michael Jackson","Off the Wall"
1980,"Peaches & Herb","I Pledge My Love"
1980,"Eagles","The Long Run"
1980,"Mickey Gilley","Stand by Me"
1980,"Pat Benatar","Heartbreaker"
1980,"Dionne Warwick","Déjà Vu"
1980,"Eddie Rabbitt","Drivin’ My Life Away"
1980,"Supertramp","Take the Long Way Home"
1980,"Fleetwood Mac","Sara"
1980,"Hall & Oates","Wait for Me"
1980,"Boz Scaggs","Jojo"
1980,"Neil Diamond","September Morn"
1980,"George Benson","Give Me the Night"
1980,"Anne Murray","Broken Hearted Me"
1980,"Kenny Rogers","You Decorated My Life"
1980,"Fleetwood Mac","Tusk"
1980,"Prince","I Wanna Be Your Lover"
1980,"Charlie Daniels Band","In America"
1980,"Boz Scaggs","Breakdown Dead Ahead"
1980,"Barry Manilow","Ships"
1980,"Joe Walsh","All Night Long"
1980,"Tom Petty and the Heartbreakers","Refugee"
